,mean,stddev
mass_1,5.4000000000000006e+17,2e+16
mass_2,0.0,0.0
sma_2,26800.0,300.0
ecc_2,0.588,0.008
aop_2,145.2735279074753,2.0
inc_2,26.58596861508119,0.4
lan_2,96.17620152273382,1.0
mea_2,171.5,0.8
j2r2_1,930.0,93.0
c22r2_1,93.0,9.3
j2r2_2,775.0,77.5
c22r2_2,77.5,7.75
spaop_1,145.2735279074753,2.0
spinc_1,26.58596861508119,0.4
splan_1,96.17620152273382,1.0
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,71.58596861508119,0.4
splan_2,96.17620152273382,1.0
sprate_2,4.327008915445801e-08,4.327008915445801e-09
