,mean,stddev
mass_1,4.06e+18,7.000000000000001e+16
mass_2,0.0,0.0
sma_2,9310.0,50.0
ecc_2,0.556,0.005
aop_2,286.97089410771576,0.9
inc_2,20.12861837089742,0.2
lan_2,322.00365552018957,0.3
mea_2,265.7,0.3
j2r2_1,855.0,85.5
c22r2_1,85.5,8.55
j2r2_2,700.0,70.0
c22r2_2,70.0,7.0
spaop_1,286.97089410771576,0.9
spinc_1,65.12861837089741,0.2
splan_1,322.00365552018957,0.3
sprate_1,5.794708534692679e-07,5.794708534692679e-08
spaop_2,180.0,20.0
spinc_2,20.12861837089742,0.2
splan_2,322.00365552018957,0.3
sprate_2,0.0002493,2.493e-05
lat_offset,0.00019533018570376732,0.005
long_offset,0.00017316549433601797,0.005
