,mean,stddev
mass_1,1.4e+18,3e+17
mass_2,0.0,0.0
sma_2,34000.0,2000.0
ecc_2,0.85,0.01
aop_2,169.86486511199632,3.0
inc_2,12.561543759972405,0.4
lan_2,80.54497146119682,2.0
mea_2,76.0,3.0
j2r2_1,18605.0,1860.5
c22r2_1,1860.5,186.05
j2r2_2,390.0,39.0
c22r2_2,39.0,3.9000000000000004
spaop_1,169.86486511199632,3.0
spinc_1,12.561543759972405,0.4
splan_1,80.54497146119682,2.0
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,12.561543759972405,0.4
splan_2,80.54497146119682,2.0
sprate_2,0.0002493,2.493e-05
lat_offset,0.00012429732133567708,0.005
long_offset,-0.00016313257235670464,0.005
